Item 1,Item 2,Item 3,Metric,Price
"Maple Pecan Swirl Frozen Chocolate, Large","Turbo Hot Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Medium",5.94888,6.85
"Pumpkin Swirl Frozen Chocolate, Large","Turbo Hot Chocolate, Large","French Vanilla Swirl Frozen Chocolate, Medium",5.95036,6.85
"Frozen Vanilla Chai, Small","Frozen Chocolate, Medium","Pumpkin Swirl Frozen Chocolate, Large",5.95089,6.65
"Caramel Swirl Frozen Chocolate, Medium","Frozen Vanilla Chai, Small","Pumpkin Swirl Frozen Chocolate, Large",5.95188,6.65
White Cheddar Bagel Twist,"Pumpkin Swirl Frozen Chocolate, Medium","French Vanilla Swirl Frozen Chocolate, Large",5.95493,8.19
"Turbo Hot Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Large","Frozen Chocolate, Medium",5.9589,6.85
"Maple Pecan Swirl Frozen Chocolate, Medium","Pumpkin Swirl Frozen Chocolate, Large","Turbo Hot Chocolate, Large",5.95989,6.85
"Pumpkin Swirl Frozen Chocolate, Medium",White Cheddar Bagel Twist,"Hazelnut Swirl Frozen Chocolate, Large",5.96217,8.19
"Frozen Vanilla Chai, Large","Frozen Vanilla Chai, Large","Frozen Vanilla Chai, Small",5.96364,6.449999999999999
"Frozen Chocolate, Small","Pumpkin Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium",5.96754,6.35
"Frozen Vanilla Chai, Large","Turbo Hot Chocolate, Large","Frozen Vanilla Chai, Large",5.97165,6.65
"Frozen Vanilla Chai, Medium","French Vanilla Swirl Frozen Chocolate, Medium","French Vanilla Swirl Frozen Chocolate, Medium",5.97543,6.449999999999999
"Vanilla Bean Coolatta, Large","Oreo Hot Chocolate, Small","Frozen Chocolate, Large",5.98261,9.19
"French Vanilla Swirl Frozen Chocolate, Medium","Frozen Vanilla Chai, Medium","Frozen Chocolate, Medium",5.98396,6.449999999999999
"Maple Pecan Swirl Frozen Chocolate, Large","Mint Hot Chocolate, Extra Large","Frozen Vanilla Chai, Medium",5.98486,6.85
"Pumpkin Swirl Frozen Chocolate, Medium","Salted Caramel Hot Chocolate, Extra Large","Frozen Vanilla Chai, Large",5.98489,6.65
"Frozen Vanilla Chai, Medium","Caramel Swirl Frozen Chocolate, Medium","French Vanilla Swirl Frozen Chocolate, Medium",5.98495,6.449999999999999
"Frozen Vanilla Chai, Medium","Frozen Dunkaccino, Large","Original Hot Chocolate, Large",5.98547,6.789999999999999
"Frozen Vanilla Chai, Large","Original Hot Chocolate, Extra Large","French Vanilla Swirl Frozen Chocolate, Medium",5.98614,6.65
"Frozen Vanilla Chai, Medium","Frozen Chocolate, Medium","Frozen Chocolate, Medium",5.9925,6.449999999999999
"Maple Pecan Swirl Frozen Chocolate, Large",White Cheddar Bagel Twist,"French Vanilla Swirl Frozen Chocolate, Medium",5.99344,8.19
"Hazelnut Swirl Frozen Chocolate, Medium","Frozen Chocolate, Medium","Frozen Vanilla Chai, Medium",5.99349,6.449999999999999
"Frozen Vanilla Chai, Medium","Caramel Swirl Frozen Chocolate, Medium","Hazelnut Swirl Frozen Chocolate, Medium",5.99448,6.449999999999999
"Original Hot Chocolate, Extra Large","Frozen Chocolate, Medium","Frozen Vanilla Chai, Large",5.99468,6.65
"Frozen Vanilla Chai, Large","Hazelnut Swirl Frozen Chocolate, Medium","Original Hot Chocolate, Extra Large",5.99566,6.65
"Oreo Hot Chocolate, XLarge","Frozen Chocolate, Large",Bismark,5.99686,6.390000000000001
"Vanilla Bean Coolatta, Medium","Oreo Hot Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Large",5.99789,8.69
"Frozen Chocolate, Medium","Maple Pecan Swirl Frozen Chocolate, Large",White Cheddar Bagel Twist,6.00198,8.19
"Caramel Swirl Frozen Chocolate, Medium",White Cheddar Bagel Twist,"Maple Pecan Swirl Frozen Chocolate, Large",6.00297,8.19
"Oreo Hot Chocolate, Large","Vanilla Bean Coolatta, Large","French Vanilla Swirl Frozen Chocolate, Medium",6.00456,9.49
"Pumpkin Swirl Frozen Chocolate, Small","French Vanilla Swirl Frozen Chocolate, Medium","Frozen Vanilla Chai, Large",6.0064,6.15
"Oreo Hot Chocolate, Large","Frozen Chocolate, Medium","Vanilla Bean Coolatta, Large",6.01309,9.49
"Oreo Hot Chocolate, Large","Vanilla Bean Coolatta, Large","Caramel Swirl Frozen Chocolate, Medium",6.01408,9.49
"Pumpkin Swirl Frozen Chocolate, Small","Frozen Vanilla Chai, Large","Frozen Chocolate, Medium",6.01494,6.15
"Frozen Vanilla Chai, Large","Caramel Swirl Frozen Chocolate, Medium","French Vanilla Swirl Frozen Chocolate, Small",6.01592,6.15
"Frozen Dunkaccino, Small","Frozen Vanilla Chai, Large","Pumpkin Swirl Frozen Chocolate, Medium",6.01782,5.99
"French Vanilla Swirl Frozen Chocolate, Medium","Frozen Vanilla Chai, Large","Hazelnut Swirl Frozen Chocolate, Small",6.01973,6.15
"Frozen Chocolate, Large","Vanilla Bean Coolatta, Medium",Kosher Tuna Salad on a Plain Bagel,6.02237,9.83
"Caramel Swirl Frozen Chocolate, Small","Frozen Vanilla Chai, Large","Frozen Chocolate, Medium",6.02827,6.15
"Frozen Vanilla Chai, Large","Hazelnut Swirl Frozen Chocolate, Medium","Maple Pecan Swirl Frozen Chocolate, Small",6.02926,6.15
"Pumpkin Swirl Frozen Chocolate, Medium","Mint Hot Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Large",6.03048,6.85
"Mint Hot Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Large","French Vanilla Swirl Frozen Chocolate, Medium",6.03197,6.85
"Vanilla Bean Coolatta, Large","Frozen Chocolate, Large","Vanilla Chai, Small",6.03757,9.49
"Frozen Chocolate, Medium","Mint Hot Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Large",6.0405,6.85
"Frozen Dunkaccino, Medium","Vanilla Bean Coolatta, Large",Kosher Tuna Salad on a Plain Bagel,6.04099,10.57
"Frozen Dunkaccino, Large","Oreo Hot Chocolate, XLarge",Maple Creme Stick,6.04112,8.53
"Pumpkin Swirl Frozen Chocolate, Large","Mint Hot Chocolate, Large","Caramel Swirl Frozen Chocolate, Medium",6.04149,6.85
"Mint Hot Chocolate, Large","Frozen Vanilla Chai, Large","Frozen Vanilla Chai, Large",6.05325,6.65
"Frozen Vanilla Chai, Large",Glazed Lemon Donut (Regional),"Pumpkin Swirl Frozen Chocolate, Large",6.05544,8.09
"Vanilla Chai, Medium","Frozen Dunkaccino, Large","Frozen Dunkaccino, Medium",6.05659,6.529999999999999
"Frozen Chocolate, Small","French Vanilla Swirl Frozen Chocolate, Medium","Frozen Vanilla Chai, Large",6.07168,6.15
"Frozen Chocolate, Small","Frozen Vanilla Chai, Large","Frozen Chocolate, Medium",6.08022,6.15
"Hazelnut Swirl Frozen Chocolate, Medium","Frozen Vanilla Chai, Large","Frozen Chocolate, Small",6.08121,6.15
"Frozen Dunkaccino, Large",Chocolate Creme Stick (Regional),"Oreo Hot Chocolate, XLarge",6.08134,6.69
"Oreo Hot Chocolate, XLarge","Frozen Chocolate, Large","Dunkaccino, Large",6.08273,7.19
"Frozen Vanilla Chai, Medium","French Vanilla Swirl Frozen Chocolate, Large",Maple Creme Stick,6.08499,8.19
Bowtie Donut (Regional),"Frozen Chocolate, Large","Frozen Vanilla Chai, Large",6.09098,8.09
"Frozen Vanilla Chai, Medium","Hazelnut Swirl Frozen Chocolate, Large",Maple Creme Stick,6.09223,8.19
"Pumpkin Swirl Frozen Chocolate, Medium","Pumpkin Swirl Frozen Chocolate, Large",Chocolate Butternut Donut,6.09446,6.85
Eclair,"Frozen Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Medium",6.09614,6.85
Eclair,"Pumpkin Swirl Frozen Chocolate, Large","Frozen Dunkaccino, Medium",6.10957,6.79
"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium",Bismark,6.1096,5.99
"Vanilla Chai, Large","Vanilla Bean Coolatta, Medium","French Vanilla Swirl Frozen Chocolate, Large",6.10968,8.49
"Caramel Swirl Frozen Chocolate, Large","Vanilla Bean Coolatta, Medium","Vanilla Chai, Large",6.11692,8.49
"French Vanilla Swirl Frozen Chocolate, Large",Jelly Donut,"Frozen Vanilla Chai, Large",6.12171,5.449999999999999
"French Vanilla Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium",Chocolate Creme Stick (Regional),6.12521,6.35
"Frozen Vanilla Chai, Large","Hazelnut Swirl Frozen Chocolate, Large",Jelly Donut,6.12896,5.45
"Caramel Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium",Chocolate Creme Stick (Regional),6.13246,6.35
"Maple Pecan Swirl Frozen Chocolate, Large","Original Hot Chocolate, Large","Vanilla Bean Coolatta, Medium",6.13679,8.690000000000001
"Frozen Vanilla Chai, Large",Dulce de Leche Donut (Regional),"Pumpkin Swirl Frozen Chocolate, Large",6.13971,8.09
Chocolate Frosted Donut,"French Vanilla Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Large",6.14305,6.65
"French Vanilla Swirl Frozen Chocolate, Medium","Original Hot Chocolate, Large","Vanilla Bean Coolatta, Large",6.14346,9.49
"Frozen Vanilla Chai, Large","Frozen Dunkaccino, Medium",Maple Creme Stick,6.14897,7.93
Eclair,"French Vanilla Swirl Frozen Chocolate, Large","French Vanilla Swirl Frozen Chocolate, Medium",6.14973,6.85
"Hazelnut Swirl Frozen Chocolate, Large",Chocolate Frosted Donut,"Frozen Vanilla Chai, Large",6.15029,6.65
"Vanilla Bean Coolatta, Large","Original Hot Chocolate, Large","Frozen Chocolate, Medium",6.152,9.49
"Original Hot Chocolate, Large","Vanilla Bean Coolatta, Large","Hazelnut Swirl Frozen Chocolate, Medium",6.15299,9.49
Eclair,"French Vanilla Swirl Frozen Chocolate, Medium","Caramel Swirl Frozen Chocolate, Large",6.15698,6.85
"French Vanilla Swirl Frozen Chocolate, Large",Eclair,"Frozen Chocolate, Medium",6.15827,6.85
"Caramel Swirl Frozen Chocolate, Medium",Eclair,"French Vanilla Swirl Frozen Chocolate, Large",6.15926,6.85
"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Large",Marble Frosted Donut (Regional),6.16167,6.99
"Frozen Chocolate, Medium","Caramel Swirl Frozen Chocolate, Large",Eclair,6.16551,6.85
"Caramel Swirl Frozen Chocolate, Medium","Caramel Swirl Frozen Chocolate, Large",Eclair,6.1665,6.85
"French Vanilla Swirl Frozen Chocolate, Large",Vanilla Frosted Donut,"Frozen Vanilla Chai, Large",6.16686,6.65
"Caramel Swirl Frozen Chocolate, Large",Strawberry Frosted Donut,"Frozen Vanilla Chai, Large",6.1741,6.99
"Frozen Dunkaccino, Medium",Apple Streusel Donut (Regional),"Frozen Dunkaccino, Large",6.17959,7.97
"Frozen Vanilla Chai, Large",Guava Donut (Regional),"Frozen Chocolate, Large",6.18205,8.09
"Frozen Vanilla Chai, Large","Pumpkin Swirl Frozen Chocolate, Large",Boston Kreme Donut,6.18415,9.49
"French Vanilla Swirl Frozen Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Medium",Chocolate Coconut Donut (Regional),6.18825,6.99
Chocolate Creme Stick (Regional),"Frozen Vanilla Chai, Large","Frozen Dunkaccino, Medium",6.18919,6.09
"Frozen Dunkaccino, Medium",Plain Croissant,"Frozen Dunkaccino, Large",6.19512,5.87
"Frozen Vanilla Chai, Medium","Dunkaccino, Large","Maple Pecan Swirl Frozen Chocolate, Large",6.19547,6.789999999999999
"Hazelnut Swirl Frozen Chocolate, Large",Chocolate Coconut Donut (Regional),"Pumpkin Swirl Frozen Chocolate, Medium",6.1955,6.99
"Frozen Dunkaccino, Medium","Frozen Dunkaccino, Large",Chocolate Long John,6.19716,6.73
Oreo Donut,"Frozen Dunkaccino, Large","Frozen Vanilla Chai, Medium",6.2023,5.390000000000001
"Dunkaccino, Medium","Frozen Chocolate, Large","Frozen Dunkaccino, Medium",6.20504,6.529999999999999
"Frozen Vanilla Chai, Large",Apple 'n Spice Donut,"Frozen Dunkaccino, Large",6.20928,7.430000000000001
Taillight Donut,"Frozen Dunkaccino, Medium","Frozen Dunkaccino, Large",6.21473,6.53
"Pumpkin Swirl Frozen Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Medium",Glazed Chocolate Stick,6.2161,6.35
"Frozen Chocolate, Large",Spider Donut,"Frozen Dunkaccino, Medium",6.21617,5.39
"Frozen Dunkaccino, Large",Vanilla Long John,"Frozen Dunkaccino, Medium",6.21676,6.529999999999999
Chocolate Coconut Donut (Regional),"French Vanilla Swirl Frozen Chocolate, Medium","Maple Pecan Swirl Frozen Chocolate, Large",6.22677,6.99
Chocolate Frosted with Sprinkles,"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Large",6.22824,6.65
"Frozen Dunkaccino, Medium",Double Chocolate Donut,"Frozen Chocolate, Large",6.23324,6.59
Glazed Donut,"Frozen Dunkaccino, Large","Frozen Vanilla Chai, Large",6.23492,5.390000000000001
"Frozen Chocolate, Medium",Chocolate Coconut Donut (Regional),"Maple Pecan Swirl Frozen Chocolate, Large",6.2353,6.99
"Maple Pecan Swirl Frozen Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Medium",Chocolate Coconut Donut (Regional),6.23629,6.99
"Maple Pecan Swirl Frozen Chocolate, Large",Strawberry Frosted with Sprinkles Donut,"Frozen Vanilla Chai, Large",6.25123,10.290000000000001
"Frozen Dunkaccino, Medium",Maple Vanilla Creme Donut,"French Vanilla Swirl Frozen Chocolate, Large",6.26062,6.59
"Vanilla Bean Coolatta, Large",Apple 'n Spice Donut,"Pumpkin Swirl Frozen Chocolate, Large",6.26313,10.33
"Caramel Swirl Frozen Chocolate, Large","Frozen Dunkaccino, Medium",New Yorker Donut (Regional),6.26787,8.03
Glazed Chocolate Donut,"Frozen Dunkaccino, Large","Frozen Dunkaccino, Medium",6.27151,6.529999999999999
Glazed Donut,"Vanilla Bean Coolatta, Large","Pumpkin Swirl Frozen Chocolate, Large",6.28877,8.290000000000001
"Frozen Vanilla Chai, Large",Strawberry Coolatta Float,"Pumpkin Swirl Frozen Chocolate, Large",6.29613,9.49
"Frozen Chocolate, Large",Chicken Croissant Sandwich (Regional),Multigrain Bagel,6.30135,10.629999999999999
Lemon Donut,"Frozen Dunkaccino, Large","Frozen Vanilla Chai, Large",6.30918,5.390000000000001
New Yorker Donut (Regional),"French Vanilla Swirl Frozen Chocolate, Medium","Frozen Dunkaccino, Large",6.31755,8.030000000000001
"Frozen Dunkaccino, Large","Frozen Chocolate, Medium",New Yorker Donut (Regional),6.32608,8.03
"Frozen Dunkaccino, Large",Maple Vanilla Creme Donut,"Maple Pecan Swirl Frozen Chocolate, Medium",6.32707,6.59
Sour Cream Donut,"Frozen Chocolate, Large","Frozen Dunkaccino, Medium",6.35346,6.93
Oreo Donut,"Maple Pecan Swirl Frozen Chocolate, Large","Vanilla Bean Coolatta, Medium",6.35362,7.29
Oreo Donut,"French Vanilla Swirl Frozen Chocolate, Medium","Vanilla Bean Coolatta, Large",6.36029,8.09
"Frozen Chocolate, Large","Vanilla Bean Coolatta, Large",Sugared Donut,6.36131,8.29
"Vanilla Bean Coolatta, Large","Pumpkin Swirl Frozen Chocolate, Large",Lemon Donut,6.36303,8.29
"Vanilla Bean Coolatta, Large",Oreo Donut,"Frozen Chocolate, Medium",6.36882,8.09
Oreo Donut,"Hazelnut Swirl Frozen Chocolate, Medium","Vanilla Bean Coolatta, Large",6.36981,8.09
"Frozen Chocolate, Large","Frozen Vanilla Chai, Large",Biscuit,6.38215,7.49
"Vanilla Bean Coolatta, Large",Apple Crumb Donut,"Vanilla Bean Coolatta, Large",6.3902,14.97
"Frozen Vanilla Chai, Large",Frosted Vanilla Creme Donut,"Vanilla Bean Coolatta, Large",6.39268,9.29
Glazed Jelly Stick,"Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",6.40361,8.59
M&M Mix-In,"Pumpkin Swirl Frozen Chocolate, Large",Kosher Tuna Salad on a Plain Bagel,6.4195,9.030000000000001
"Extra Thick Shake, Chocolate","French Vanilla Swirl Frozen Chocolate, Large","Oreo Hot Chocolate, Large",6.42876,7.050000000000001
"Frozen Vanilla Chai, Large","Oreo Hot Chocolate, XLarge","Extra Thick Shake, Chocolate",6.4309,7.049999999999999
"Oreo Hot Chocolate, Large","Extra Thick Shake, Chocolate","Caramel Swirl Frozen Chocolate, Large",6.43601,7.050000000000001
"Dunkaccino, Extra Large","Dunkaccino, Extra Large","French Vanilla Swirl Frozen Chocolate, Large",6.44376,6.93
"Dunkaccino, Extra Large","Dunkaccino, Extra Large","Caramel Swirl Frozen Chocolate, Large",6.45101,6.93
Glazed Jelly Stick,"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Medium",6.51635,8.19
Butternut Donut,"Pumpkin Swirl Frozen Chocolate, Large","Pumpkin Swirl Frozen Chocolate, Medium",6.51723,6.99
"Extra Thick Shake, Chocolate","Frozen Dunkaccino, Large",Kosher Tuna Salad on a Plain Bagel,6.52212,8.13
"Vanilla Chai, Large","Extra Thick Shake, Chocolate","Frozen Chocolate, Large",6.52547,6.85
"Pumpkin Swirl Frozen Chocolate, Medium","Pumpkin Swirl Frozen Chocolate, Medium","Extra Thick Shake, Chocolate",6.53438,6.65
"Frozen Chocolate, Large","Original Hot Chocolate, Extra Large",Kosher Tuna Melt on a Croissant,6.53822,8.39
"French Vanilla Swirl Frozen Chocolate, Small",Kosher Tuna Melt on a Croissant,"Frozen Chocolate, Large",6.55848,7.890000000000001
Orep Mix-In,"Maple Pecan Swirl Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",6.55909,8.09
Coconut Donut,"Pumpkin Swirl Frozen Chocolate, Medium","French Vanilla Swirl Frozen Chocolate, Large",6.56609,6.99
"Frozen Dunkaccino, Large",Chicken Biscuit,"Frozen Vanilla Chai, Medium",6.56763,7.43
"Extra Thick Shake, Chocolate","French Vanilla Swirl Frozen Chocolate, Large","Original Hot Chocolate, Large",6.56767,7.050000000000001
"Vanilla Bean Coolatta, Large","Vanilla Bean Coolatta, Large",Chocolate Creme Donut,6.56905,12.33
"Salted Caramel Hot Chocolate, Large",M&M Mix-In,"French Vanilla Swirl Frozen Chocolate, Large",6.56935,7.890000000000001
Kosher Tuna Melt on a Croissant,"Caramel Swirl Frozen Chocolate, Small","Frozen Chocolate, Large",6.57181,7.890000000000001
Coconut Donut,"Pumpkin Swirl Frozen Chocolate, Medium","Caramel Swirl Frozen Chocolate, Large",6.57334,6.99
"Original Hot Chocolate, Large","Extra Thick Shake, Chocolate","Caramel Swirl Frozen Chocolate, Large",6.57491,7.050000000000001
M&M Mix-In,"Caramel Swirl Frozen Chocolate, Large","Salted Caramel Hot Chocolate, Large",6.5766,7.890000000000001
M&M Mix-In,"Frozen Vanilla Chai, Small","Frozen Dunkaccino, Large",6.58471,7.63
"Vanilla Bean Coolatta, Large",Maple Creme Donut,"Vanilla Bean Coolatta, Large",6.58988,13.67
"Salted Caramel Hot Chocolate, Extra Large",Kosher Tuna Melt on a Croissant,"French Vanilla Swirl Frozen Chocolate, Large",6.59056,8.39
"Turbo Hot Chocolate, Large",M&M Mix-In,"Frozen Dunkaccino, Large",6.59272,7.83
Kosher Tuna Melt on a Croissant,"Hazelnut Swirl Frozen Chocolate, Large","Salted Caramel Hot Chocolate, Extra Large",6.59781,8.39
Coconut Donut,"Maple Pecan Swirl Frozen Chocolate, Large","French Vanilla Swirl Frozen Chocolate, Medium",6.60461,6.99
Coconut Donut,"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Chocolate, Medium",6.61315,6.99
"Maple Pecan Swirl Frozen Chocolate, Medium","Maple Pecan Swirl Frozen Chocolate, Large",Coconut Donut,6.61414,6.99
"Maple Pecan Swirl Frozen Chocolate, Large","Frozen Vanilla Chai, Small",Chicken Croissant Sandwich (Regional),6.61908,10.49
"French Vanilla Swirl Frozen Chocolate, Large",Kosher Tuna Melt on a Croissant,"Frozen Dunkaccino, Small",6.6235,7.73
"Frozen Chocolate, Large",Kosher Tuna Melt on a Croissant,"Frozen Chocolate, Small",6.62376,7.890000000000001
"Turbo Hot Chocolate, Large","Maple Pecan Swirl Frozen Chocolate, Large",Chicken Croissant Sandwich (Regional),6.62709,10.690000000000001
"Caramel Swirl Frozen Chocolate, Large",Kosher Tuna Melt on a Croissant,"Frozen Dunkaccino, Small",6.63074,7.73
"French Vanilla Swirl Frozen Chocolate, Large",White Cheddar Bagel Twist,Chicken Croissant Sandwich (Regional),6.63314,12.030000000000001
White Cheddar Bagel Twist,Chicken Croissant Sandwich (Regional),"Hazelnut Swirl Frozen Chocolate, Large",6.64038,12.03
"Frozen Dunkaccino, Medium","Frozen Chocolate, Large",Chocolate Frosted Cake Donut,6.65426,6.59
Kosher Grilled Cheese with Veggie Bacon (Regional),"Frozen Dunkaccino, Large","Oreo Hot Chocolate, XLarge",6.66179,10.629999999999999
Chicken Croissant Sandwich (Regional),"Salted Caramel Hot Chocolate, Extra Large","Frozen Vanilla Chai, Large",6.6631,10.49
M&M Mix-In,"French Vanilla Swirl Frozen Chocolate, Large",Apple Fritter,6.67222,9.530000000000001
"Frozen Dunkaccino, Large",Kosher Tuna Melt on a Croissant,"Mint Hot Chocolate, Extra Large",6.67291,8.33
M&M Mix-In,"Mint Hot Chocolate, Large","Frozen Dunkaccino, Large",6.67432,7.83
Apple Fritter,"Caramel Swirl Frozen Chocolate, Large",M&M Mix-In,6.67946,9.53
"Vanilla Bean Coolatta, Large","Original Hot Chocolate, Extra Large",M&M Mix-In,6.68235,10.53
Pumpkin Donut,"Frozen Dunkaccino, Medium","Frozen Dunkaccino, Large",6.68328,7.97
"Pumpkin Swirl Frozen Chocolate, Large",Maple Creme Stick,"Extra Thick Shake, Chocolate",6.68394,8.39
"Frozen Vanilla Chai, Large","Pumpkin Swirl Frozen Chocolate, Medium",Orep Mix-In,6.68534,7.49
"Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",Sausage Biscuit,6.69021,7.890000000000001
"Frozen Dunkaccino, Small","Frozen Vanilla Chai, Large",Chicken Croissant Sandwich (Regional),6.69603,9.83
"Frozen Chocolate, Large","Oreo Hot Chocolate, XLarge",Grilled Cheese with Bacon (Regional),6.69727,10.690000000000001
