Item,Price
Two Cinnamon Rolls - Meal ,$3.89
"Bacon, Sausage, Egg & Cheese Biscuit (Limited Time) ",$3.49
"Bacon, Sausage, Egg & Cheese Biscuit - Meal (Limited Time) ",$5.59
Ultimate Breakfast Platter ,$4.89
Pancake & Sausage Platter ,$3.69
Fruit Topped Maple Flavor ,$1.99
Original ,$1.99
Sausage Burrito ,$1.19
Sausage Biscuit ,$1.00
Sausage & Cheese Muffin Sandwich ,$1.19
French Toast Sticks 3 Pc.,$1.00
Milk (Fat Free or Low-Fat Chocolate) ,$1.49
Hash Browns Small,$1.00
Hash Browns Medium,$1.69
Hash Browns Large,$1.89
